DrugID;TradeNmR;InnR;PackNx;DosageR;PackQn;Pack;DrugFmNmRS;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg;EAN;MaxMnfPrice;ExpiTermR;ClNm;MnfNm;PckNm;RegNr;RegDate
9;Брифесептол;Ко-тримоксазол [Сульфаметоксазол+Триметоприм];436245;480 мг;20;20 шт., упаковка контурная ячейковая , пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603779007957;29.430000;2 года;Брынцалов-А ЗАО;Брынцалов-А ЗАО;Брынцалов-А ЗАО;Р N001575/02-2002;20.08.2002 00:00:00
13;Преднизолон;Преднизолон;479501;0.5%;1;10 г, туба алюминиевая;мазь для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603679001031;8.380000;2 года;Алтайвитамины ЗАО;Алтайвитамины ЗАО;Алтайвитамины ЗАО;ЛС-001289;17.02.2006 00:00:00
15;Нитросорбид;Изосорбида динитрат;495446;10 мг;50;10 шт., упаковка ячейковая контурная (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605554000122;6.530000;;Фармапол-Волга ООО;Фармапол-Волга ООО;Фармапол-Волга ООО;ЛС-000272;29.04.2005 00:00:00
16;Ацикловир-Акри;Ацикловир;496017;200 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969000177;33.830000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;ЛС-000044;23.03.2005 00:00:00
17;Сибазон;Диазепам;503724;5 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602676003284;13.500000;;Московский эндокринный завод ФГУП;Московский эндокринный завод ФГУП;Московский эндокринный завод ФГУП;ЛС-001270;17.02.2006 00:00:00
18;Кларотадин;Лоратадин;505459;1 мг/мл;1;100 мл /комплект: ложка дозировочная/, флакон темного стекла;сироп;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969003024;118.390000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N003765/01;06.10.2009 00:00:00
20;Флуконазол;Флуконазол;510006;150 мг;1;1 шт., упаковка ячейковая контурная, пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607003243692;19.670000;;Вертекс ЗАО;Вертекс ЗАО;Вертекс ЗАО;Р N003242/01;09.12.2009 00:00:00
23;Доксазозин;Доксазозин;513406;2 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607085310022;97.550000;2 года;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;Р N003813/01;02.10.2009 00:00:00
24;Лизиноприл;Лизиноприл;513658;10 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607085310114;65.990000;2 года;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;ЛС-000779;23.09.2005 00:00:00
25;Гептор;Адеметионин;520943;400 мг;20;10 шт., упаковка контурная ячейковая  (2);таблетка покрытая кишечнорастворимой оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607083722988;895.900000;;АО ВЕРОФАРМ;АО ВЕРОФАРМ;АО ВЕРОФАРМ;ЛС-001820;
26;Бетавер;Бетагистин;522620;16 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602930007928;216.510000;2 года;Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];ЛС-002346;08.12.2006 00:00:00
30;Овенкор;Симвастатин;534275;20 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027760625;547.820000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛС-000527;15.07.2005 00:00:00
33;Сибазон-Ферейн;Диазепам;546555;5 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603779010377;10.800000;3 года;Брынцалов-А ЗАО;Брынцалов-А ЗАО;Брынцалов-А ЗАО;ЛС-000591;29.07.2005 00:00:00
34;Эуфиллин;Аминофиллин;549557;150 мг;30;10 шт., упаковка ячейковая контурная (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602424000411;8.310000;;АО Органика;АО Органика;АО Органика;ЛС-000120;08.04.2005 00:00:00
35;Кларитросин;Кларитромицин;555199;250 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565009861;113.500000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;ЛС-000481;15.07.2005 00:00:00
36;Ионик ретард;Индапамид;557029;1.5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка с контролируемым высвобождением покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605077003877;73.870000;2 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;ЛС-000939;18.11.2005 00:00:00
38;Тамсулон-ФС;Тамсулозин;561857;0.4 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;капсула с модифицированным высвобождением;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603469000336;452.250000;2 года;Фарм-Синтез ЗАО;Фарм-Синтез ЗАО;Фарм-Синтез ЗАО;ЛС-000859;03.11.2005 00:00:00
39;Тиолепта;Тиоктовая кислота;565321;300 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4606486000853;416.660000;;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;ЛС-002172;03.11.2006 00:00:00
41;Калия йодид;Калия йодид;575305;0.1 мг;100;25 шт., упаковка контурная ячейковая  (4), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605077003303;54.740000;3 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Р N003537/01;31.08.2009 00:00:00
42;Аспаркам;Калия и магния аспарагинат;578352;175+175 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603988007786;30.080000;3 года;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-002168;03.11.2006 00:00:00
43;Ринсулин Р;Инсулин растворимый [человеческий генно-инженерный];582625;100 МЕ/мл;1;10 мл, флакон ;раствор для инъекций;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607038980098;363.270000;;ГЕРОФАРМ-Био ОАО;ГЕРОФАРМ-Био ОАО;ГЕРОФАРМ-Био ОАО;ЛС-001808;
44;Ринсулин НПХ;Инсулин-изофан [человеческий генно-инженерный];582631;100 МЕ/мл;1;10 мл, флакон ;суспензия для подкожного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607038980043;363.270000;;ГЕРОФАРМ-Био ОАО;ГЕРОФАРМ-Био ОАО;ГЕРОФАРМ-Био ОАО;ЛС-001809;
45;Ципрофлоксацин-ФПО;Ципрофлоксацин;586966;500 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605077003716;16.790000;;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;ЛС-000857;28.10.2005 00:00:00
46;Форметин;Метформин;587088;500 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601669004055;41.340000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;ЛСР-003304/07;22.10.2007 00:00:00
47;Флуконазол;Флуконазол;592635;150 мг;1;1 шт., упаковка контурная ячейковая , пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605949000348;20.600000;3 года;Биоком ЗАО;Биоком ЗАО;Биоком ЗАО;ЛС-000953;25.11.2005 00:00:00
49;Фамотидин;Фамотидин;599316;20 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027760335;14.670000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛС-001456;24.03.2006 00:00:00
52;Зилт;Клопидогрел;607756;75 мг;28;7 шт., упаковка ячейковая контурная (4), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607055130827;947.720000;;КРКА-Рус ООО;КРКА-Рус ООО;КРКА-Рус ООО;ЛС-001229;03.02.2006 00:00:00
55;Бипрол;Бисопролол;612800;5 мг;30;10 шт., упаковка ячейковая контурная (3), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607018262893;75.500000;;Нижфарм ОАО;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;ЛС-001581;12.05.2006 00:00:00
56;Ранитидин-Акри;Ранитидин;612896;150 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969003338;18.710000;;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000032/01;04.08.2006 00:00:00
60;Нитроспрей;Нитроглицерин;629980;0.4 мг/доза;1;10 мл, 200 доз, флакон с дозирующим устройством полипропиленовый /комплект: насадка-распылитель, колпачок предохранительный/, пачка картонная;спрей подъязычный дозированный;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601669004147;79.650000;;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;ЛСР-001698/07;24.07.2007 00:00:00
63;Бетагистин;Бетагистин;633570;24 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4606486001034;254.510000;2 года;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;ЛС-002330;08.12.2006 00:00:00
65;Тензар;Индапамид;644736;2.5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027760823;58.320000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛС-000528;30.11.2009 00:00:00
67;Азитрокс;Азитромицин;646363;250 мг;6;6 шт., упаковка контурная ячейковая , пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601669003775;239.370000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Р N001157/01;29.12.2006 00:00:00
70;Метформин-Рихтер;Метформин;664894;500 мг;60;10 шт., упаковка ячейковая контурная (6), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605469001320;142.920000;;Гедеон Рихтер-РУС ЗАО;Гедеон Рихтер-РУС ЗАО;Гедеон Рихтер-РУС ЗАО;ЛС-001149;19.01.2006 00:00:00
72;Пирацетама таблетки покрытые оболочкой 0.2 г;Пирацетам;665836;200 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607100620402;16.990000;3 года;~;Асфарма ООО;Асфарма ООО;82/624/24;25.06.1982 00:00:00
74;Аснитон;Бетагистин;669528;8 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607003241896;108.720000;2 года;Вертекс ЗАО;Вертекс ЗАО;Вертекс ЗАО;ЛСР-004681/07;11.12.2007 00:00:00
76;Лизиноприл;Лизиноприл;674865;10 мг;30;15 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4606252001473;90.600000;2 года;Скопинский фармацевтический завод ЗАО;Скопинский фармацевтический завод ЗАО;Скопинский фармацевтический завод ЗАО;ЛС-000289;20.05.2005 00:00:00
77;Пирацетам;Пирацетам;675866;200 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602876001875;12.840000;3 года;Марбиофарм ОАО;Марбиофарм ОАО;Марбиофарм ОАО;Р N000377/01;29.12.2006 00:00:00
78;Метоклопрамид;Метоклопрамид;679145;10 мг;50;10 шт., упаковка контурная ячейковая [бумага с полимерным покрытием]  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603988006819;15.470000;2 года;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-001643;09.06.2006 00:00:00
79;Хлоргексидина биглюконат;Хлоргексидин;685304;0.05%;1;100 мл, флакон полиэтиленовый с насадкой полимерной;раствор наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602453002066;9.290000;2 года;Росбио ООО;Росбио ООО;Росбио ООО;Р N000734/01;29.12.2006 00:00:00
80;Нацеф;Цефазолин;686513;1 г;1;флакон , пачка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603953000712;47.740000;3 года;Аболмед ООО [г.Москва];Аболмед ООО [г.Москва];Аболмед ООО [г.Москва];Р N000882/01;17.04.2007 00:00:00
82;Фенигидин;Нифедипин;693181;10 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607019010110;9.180000;2 года;Фармпроект ЗАО;Фармпроект ЗАО;Фармпроект ЗАО;Р N001714/01;23.07.2008 00:00:00
83;Ко-тримоксазол;Ко-тримоксазол [Сульфаметоксазол+Триметоприм];694584;480 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601669000569;10.610000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Р N000700/01;27.12.2007 00:00:00
86;L-Тироксин-Акри;Левотироксин натрия;701911;0.1 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969003406;48.800000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000680/01;07.08.2007 00:00:00
87;Седуксен;Диазепам;702583;5 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605469000941;14.720000;5 лет;Гедеон Рихтер-Рус ЗАО;Гедеон Рихтер-Рус ЗАО;Гедеон Рихтер-Рус ЗАО;Р N002110/01;27.12.2007 00:00:00
88;Ко-тримоксазол;Ко-тримоксазол [Сульфаметоксазол+Триметоприм];711515;480 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602884005421;12.200000;;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;Р N000908/01;13.04.2009 00:00:00
90;Карбамазепин-Акри;Карбамазепин;712515;200 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969000269;31.690000;;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000852/01;07.09.2007 00:00:00
91;Пирацетам;Пирацетам;718941;400 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607019010011;31.850000;3 года;Фармпроект ЗАО;Фармпроект ЗАО;Фармпроект ЗАО;Р N001713/01;09.09.2008 00:00:00
93;Эналаприл;Эналаприл;719576;10 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565014360;7.230000;;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001451/01;12.12.2007 00:00:00
94;Релаксон;Зопиклон;722976;7.5 мг;20;5 шт., упаковка контурная ячейковая  (4), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602930005160;113.370000;3 года;Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Р N001759/01;26.12.2007 00:00:00
96;Трамадол-Акри;Трамадол;723634;50 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969001860;69.100000;4 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N001128/01;05.12.2007 00:00:00
97;Преднизолон;Преднизолон;728360;5 мг;100;10 шт., упаковка контурная ячейковая  (10), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603988002576;44.180000;2 года;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-002459;29.12.2006 00:00:00
98;Омепразол-ФПО;Омепразол;731082;20 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605077002146;19.400000;3 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Р N001558/01;30.06.2009 00:00:00
100;Пирацетам;Пирацетам;739503;400 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565014476;19.440000;;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001902/01;
101;Ацикловир-Акри;Ацикловир;739810;5%;1;5 г, туба алюминиевая;мазь для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969000184;20.060000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000241/02;24.04.2008 00:00:00
102;Флюкостат;Флуконазол;742243;150 мг;1;1 шт., упаковка ячейковая контурная, пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601669004246;157.320000;;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Р N001361/01;31.03.2008 00:00:00
103;Нистатин;Нистатин;742625;500 тыс.ЕД;20;20 шт., банка полимерная, пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602884003472;24.380000;2 года;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;Р N000840/03;07.08.2008 00:00:00
104;Омепразол;Омепразол;747808;20 мг;30;10 шт., упаковка ячейковая контурная (3), пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565015442;24.130000;;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001520/01;14.08.2008 00:00:00
105;Ацикловир;Ацикловир;754096;5%;1;5 г, туба алюминиевая;мазь для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565015657;15.460000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001595/01;11.09.2008 00:00:00
106;Ацикловир-АКОС;Ацикловир;754104;200 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565015688;19.000000;;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001595/02;11.09.2008 00:00:00
